probability_up,signal
0.53315073,HOLD
0.5600132,HOLD
0.5499542,HOLD
0.54711264,HOLD
0.52853155,HOLD
0.5235364,HOLD
0.54440355,HOLD
0.518118,HOLD
0.52223957,HOLD
0.56095,HOLD
0.52493805,HOLD
0.5384214,HOLD
0.5418461,HOLD
0.5315952,HOLD
0.51817286,HOLD
0.5248218,HOLD
0.52880025,HOLD
0.54504573,HOLD
0.54619735,HOLD
0.5410046,HOLD
0.5418765,HOLD
0.40149128,HOLD
0.6305761,BUY
0.5258122,HOLD
0.4668715,HOLD
0.56399584,HOLD
0.4907655,HOLD
0.5241421,HOLD
0.46571115,HOLD
0.43450505,HOLD
0.5393644,HOLD
0.5242764,HOLD
0.55472666,HOLD
0.50947225,HOLD
0.559139,HOLD
0.5086983,HOLD
0.5650588,HOLD
0.5283488,HOLD
0.545813,HOLD
0.5383781,HOLD
0.49785364,HOLD
0.59477836,HOLD
0.5169094,HOLD
0.40561873,HOLD
0.5410171,HOLD
0.49454972,HOLD
0.54772866,HOLD
0.54074544,HOLD
0.4949314,HOLD
0.5255616,HOLD
0.5402835,HOLD
0.5318286,HOLD
0.54754186,HOLD
0.5669697,HOLD
0.5440457,HOLD
0.56799215,HOLD
0.49048948,HOLD
0.56133205,HOLD
0.5362753,HOLD
0.55654395,HOLD
0.52962434,HOLD
0.5165889,HOLD
0.5445293,HOLD
0.54111695,HOLD
0.55024093,HOLD
0.5003787,HOLD
0.50461537,HOLD
0.59825265,HOLD
0.5395861,HOLD
0.5410046,HOLD
0.5333299,HOLD
0.5295404,HOLD
0.5337877,HOLD
0.5204731,HOLD
0.52731484,HOLD
0.51159436,HOLD
0.5692449,HOLD
0.54735917,HOLD
0.5459597,HOLD
0.5105044,HOLD
0.522039,HOLD
0.5644744,HOLD
0.52433926,HOLD
0.55321974,HOLD
0.5304603,HOLD
0.48495916,HOLD
0.5449695,HOLD
0.5657993,HOLD
0.509529,HOLD
0.5572798,HOLD
0.5278066,HOLD
0.5517427,HOLD
0.5710168,HOLD
0.5244241,HOLD
0.55506164,HOLD
0.58130187,HOLD
0.52490807,HOLD
0.51459897,HOLD
0.5258469,HOLD
0.5463241,HOLD
0.5257254,HOLD
0.5580473,HOLD
0.52832705,HOLD
0.5499731,HOLD
0.52089304,HOLD
0.5339221,HOLD
0.5566849,HOLD
0.6318865,BUY
0.51855755,HOLD
0.5537963,HOLD
0.56121844,HOLD
0.5450893,HOLD
0.5593804,HOLD
0.575848,HOLD
0.5123253,HOLD
0.5457621,HOLD
0.53421783,HOLD
0.5817809,HOLD
0.49997628,HOLD
0.56166255,HOLD
0.5254805,HOLD
0.50560576,HOLD
0.5374434,HOLD
0.44219425,HOLD
0.52622586,HOLD
0.51972646,HOLD
0.54251623,HOLD
0.5573349,HOLD
0.54285425,HOLD
0.54416233,HOLD
0.56101984,HOLD
0.5136497,HOLD
0.54962796,HOLD
0.5522734,HOLD
0.528466,HOLD
0.49374512,HOLD
0.5275274,HOLD
0.5231753,HOLD
0.41781688,HOLD
0.52892727,HOLD
0.5044004,HOLD
0.5451992,HOLD
0.55468756,HOLD
0.46289903,HOLD
0.54094726,HOLD
0.5325563,HOLD
0.49986616,HOLD
0.5093545,HOLD
0.32664356,SELL
0.5136792,HOLD
0.5257697,HOLD
0.5312175,HOLD
0.52464736,HOLD
0.49473774,HOLD
0.5471687,HOLD
0.54406214,HOLD
0.53546935,HOLD
0.51914877,HOLD
0.51854,HOLD
0.55225533,HOLD
0.50262654,HOLD
0.5273235,HOLD
0.5334875,HOLD
0.4969598,HOLD
0.51488674,HOLD
0.52412766,HOLD
0.5305897,HOLD
0.519278,HOLD
0.5271928,HOLD
0.5046615,HOLD
0.50525755,HOLD
0.50521004,HOLD
0.5088725,HOLD
0.52399117,HOLD
0.49731788,HOLD
0.48239213,HOLD
0.49379203,HOLD
0.4923835,HOLD
0.50514907,HOLD
0.5037273,HOLD
0.52643114,HOLD
0.5100412,HOLD
0.5509679,HOLD
0.514488,HOLD
0.54896617,HOLD
0.5367114,HOLD
0.51280725,HOLD
0.52387816,HOLD
0.50650465,HOLD
0.46887758,HOLD
0.4466997,HOLD
0.58753747,HOLD
0.47337016,HOLD
0.51589656,HOLD
0.5026936,HOLD
0.49685374,HOLD
0.47636983,HOLD
0.49565396,HOLD
0.5136294,HOLD
0.5110421,HOLD
0.5154644,HOLD
0.49943382,HOLD
0.51151776,HOLD
0.5307778,HOLD
0.4943702,HOLD
0.5175206,HOLD
0.517129,HOLD
0.5037883,HOLD
0.58112323,HOLD
0.46970806,HOLD
0.4624457,HOLD
0.43163595,HOLD
0.53750443,HOLD
0.59604955,HOLD
0.4949071,HOLD
0.51269066,HOLD
0.47854725,HOLD
0.43553355,HOLD
0.50602186,HOLD
0.49023515,HOLD
0.52092975,HOLD
0.5043353,HOLD
0.50357234,HOLD
0.5002199,HOLD
0.48052475,HOLD
0.5049094,HOLD
0.45382223,HOLD
0.5533591,HOLD
0.48373827,HOLD
0.5215402,HOLD
0.4446497,HOLD
0.531127,HOLD
0.47506234,HOLD
0.47464284,HOLD
0.51009744,HOLD
0.52371645,HOLD
0.51080954,HOLD
0.4938854,HOLD
0.49417752,HOLD
0.52143425,HOLD
0.5163327,HOLD
0.4938789,HOLD
0.5000296,HOLD
0.5023354,HOLD
0.48407823,HOLD
0.49823073,HOLD
0.48134428,HOLD
0.48954603,HOLD
0.4988072,HOLD
0.56271464,HOLD
0.49385923,HOLD
0.43507296,HOLD
0.52185595,HOLD
0.4986086,HOLD
0.47701705,HOLD
0.48954603,HOLD
0.5879825,HOLD
0.48689145,HOLD
0.5526706,HOLD
0.5492374,HOLD
0.543881,HOLD
0.5354715,HOLD
0.50603485,HOLD
0.4991469,HOLD
0.5002199,HOLD
0.49074647,HOLD
0.49088556,HOLD
0.49340102,HOLD
0.47806868,HOLD
0.41159132,HOLD
0.49805248,HOLD
0.49533412,HOLD
0.516315,HOLD
0.49632812,HOLD
0.48629746,HOLD
0.48314473,HOLD
0.515334,HOLD
0.479559,HOLD
0.49622253,HOLD
0.50985223,HOLD
0.5045974,HOLD
0.5116025,HOLD
0.51470095,HOLD
0.5058418,HOLD
0.50631267,HOLD
0.51027095,HOLD
0.5224707,HOLD
0.5057302,HOLD
0.49808463,HOLD
0.49163404,HOLD
0.51584864,HOLD
0.51134264,HOLD
0.51134676,HOLD
0.51975894,HOLD
0.4930772,HOLD
0.4841684,HOLD
0.48437133,HOLD
0.5036731,HOLD
0.46716854,HOLD
0.53266007,HOLD
0.5314607,HOLD
0.51048344,HOLD
0.46901128,HOLD
0.49004433,HOLD
0.5217749,HOLD
0.52471966,HOLD
0.42447358,HOLD
0.49452314,HOLD
0.5036731,HOLD
0.41134265,HOLD
0.5419446,HOLD
0.49037376,HOLD
0.5200271,HOLD
0.53073686,HOLD
0.46143198,HOLD
0.5219736,HOLD
0.4546989,HOLD
0.48970863,HOLD
0.54824144,HOLD
0.4771967,HOLD
0.48573142,HOLD
0.48043498,HOLD
0.5159064,HOLD
0.49404365,HOLD
0.4877898,HOLD
0.4868198,HOLD
0.49459708,HOLD
0.49237543,HOLD
0.48169684,HOLD
0.49261737,HOLD
0.4899383,HOLD
0.48998386,HOLD
0.5697423,HOLD
0.48982805,HOLD
0.53459835,HOLD
0.5491498,HOLD
0.60331905,BUY
0.51554835,HOLD
0.49248475,HOLD
0.50648046,HOLD
0.4961664,HOLD
0.48173082,HOLD
0.5170083,HOLD
0.51564956,HOLD
0.49115264,HOLD
0.5273054,HOLD
0.47991037,HOLD
0.5057122,HOLD
0.5396998,HOLD
0.5235298,HOLD
0.5070357,HOLD
0.580897,HOLD
0.50612533,HOLD
0.5131456,HOLD
0.5066719,HOLD
0.5058342,HOLD
0.52406895,HOLD
0.49427378,HOLD
0.54551333,HOLD
0.51203704,HOLD
0.5254534,HOLD
0.49453598,HOLD
0.5021579,HOLD
0.5092838,HOLD
0.51752365,HOLD
0.5005227,HOLD
0.5049887,HOLD
0.5003005,HOLD
0.53256583,HOLD
0.49481007,HOLD
0.5019977,HOLD
0.4935495,HOLD
0.5192603,HOLD
0.49198598,HOLD
0.5316369,HOLD
0.5178463,HOLD
0.5049388,HOLD
0.50592816,HOLD
0.40489405,HOLD
0.4871706,HOLD
0.4913295,HOLD
0.50092137,HOLD
0.4855953,HOLD
0.5111468,HOLD
0.5049529,HOLD
0.52017534,HOLD
0.51666224,HOLD
0.51604533,HOLD
0.5160641,HOLD
0.4934148,HOLD
0.48209205,HOLD
0.51211077,HOLD
0.51459086,HOLD
0.50666004,HOLD
0.5182274,HOLD
0.52036655,HOLD
0.47840273,HOLD
0.51635754,HOLD
0.5083885,HOLD
0.50909793,HOLD
0.5197398,HOLD
0.48312336,HOLD
0.51345325,HOLD
0.4988489,HOLD
0.5379398,HOLD
0.49741662,HOLD
0.52335066,HOLD
0.51888126,HOLD
0.501067,HOLD
0.4947123,HOLD
0.5433295,HOLD
0.5003715,HOLD
0.48805857,HOLD
0.50689065,HOLD
0.5154906,HOLD
0.51449674,HOLD
0.50491667,HOLD
0.5120183,HOLD
0.5146498,HOLD
0.50487155,HOLD
0.4869169,HOLD
0.5048326,HOLD
0.5117038,HOLD
0.53278273,HOLD
0.49353266,HOLD
0.47975752,HOLD
0.4949009,HOLD
0.48656723,HOLD
0.46246478,HOLD
0.42465904,HOLD
0.53460306,HOLD
0.4940684,HOLD
0.49443278,HOLD
0.5068533,HOLD
0.53614354,HOLD
0.5247717,HOLD
0.5068745,HOLD
0.5244394,HOLD
0.54192674,HOLD
0.50930804,HOLD
0.50993437,HOLD
0.5592372,HOLD
0.51993245,HOLD
0.52711016,HOLD
0.5282903,HOLD
0.59278053,HOLD
0.5272641,HOLD
0.5417378,HOLD
0.5101251,HOLD
0.5229268,HOLD
0.556068,HOLD
0.513499,HOLD
0.5695967,HOLD
0.43015283,HOLD
0.5274658,HOLD
0.44533983,HOLD
0.5434084,HOLD
0.5285643,HOLD
0.4989481,HOLD
0.45270044,HOLD
0.51597476,HOLD
0.52558166,HOLD
0.4757518,HOLD
0.5768459,HOLD
0.4771437,HOLD
0.5435599,HOLD
0.5125908,HOLD
0.53022677,HOLD
0.51224744,HOLD
0.52525663,HOLD
0.53169286,HOLD
0.5131449,HOLD
0.5460925,HOLD
0.50894123,HOLD
0.5046674,HOLD
0.49463278,HOLD
